agency_cd,site_no,Date,Flow,Flow_cd
USGS,08162600,2000-01-01,0.84,A
USGS,08162600,2000-01-02,3,A
USGS,08162600,2000-01-03,3.4,A
USGS,08162600,2000-01-04,2.6,A
USGS,08162600,2000-01-05,1.6,A
USGS,08162600,2000-01-06,3.2,A
USGS,08162600,2000-01-07,11,A
USGS,08162600,2000-01-08,17,A
USGS,08162600,2000-01-09,22,A
USGS,08162600,2000-01-10,18,A
USGS,08162600,2000-01-11,13,A
USGS,08162600,2000-01-12,6.2,A
USGS,08162600,2000-01-13,1.6,A
USGS,08162600,2000-01-14,2.2,A
USGS,08162600,2000-01-15,3.2,A
USGS,08162600,2000-01-16,3.1,A
USGS,08162600,2000-01-17,7.7,A
USGS,08162600,2000-01-18,3.6,A
USGS,08162600,2000-01-19,2.2,A
USGS,08162600,2000-01-20,2.4,A
USGS,08162600,2000-01-21,1.9,A
USGS,08162600,2000-01-22,4.1,A
USGS,08162600,2000-01-23,7.9,A
USGS,08162600,2000-01-24,8.1,A
USGS,08162600,2000-01-25,4.3,A
USGS,08162600,2000-01-26,2.1,A
USGS,08162600,2000-01-27,3.3,A
USGS,08162600,2000-01-28,36,A
USGS,08162600,2000-01-29,29,A
USGS,08162600,2000-01-30,25,A
USGS,08162600,2000-01-31,10,A
USGS,08162600,2000-02-01,5.3,A
USGS,08162600,2000-02-02,4.1,A
USGS,08162600,2000-02-03,3.3,A
USGS,08162600,2000-02-04,3.5,A
USGS,08162600,2000-02-05,2.9,A
USGS,08162600,2000-02-06,2.2,A
USGS,08162600,2000-02-07,2.8,A
USGS,08162600,2000-02-08,3,A
USGS,08162600,2000-02-09,2.3,A
USGS,08162600,2000-02-10,2,A
USGS,08162600,2000-02-11,2,A
USGS,08162600,2000-02-12,2,A
USGS,08162600,2000-02-13,2,A
USGS,08162600,2000-02-14,1.9,A
USGS,08162600,2000-02-15,1.7,A
USGS,08162600,2000-02-16,1.6,A
USGS,08162600,2000-02-17,1.5,A
USGS,08162600,2000-02-18,1.3,A
USGS,08162600,2000-02-19,1.1,A
USGS,08162600,2000-02-20,2.5,A
USGS,08162600,2000-02-21,7.6,A
USGS,08162600,2000-02-22,6,A
USGS,08162600,2000-02-23,373,A
USGS,08162600,2000-02-24,280,A
USGS,08162600,2000-02-25,96,A
USGS,08162600,2000-02-26,37,A
USGS,08162600,2000-02-27,16,A
USGS,08162600,2000-02-28,8.1,A
USGS,08162600,2000-02-29,6.4,A
USGS,08162600,2000-03-01,8.1,A
USGS,08162600,2000-03-02,7.7,A
USGS,08162600,2000-03-03,4.7,A
USGS,08162600,2000-03-04,2.5,A
USGS,08162600,2000-03-05,1,A
USGS,08162600,2000-03-06,0.6,A
USGS,08162600,2000-03-07,0.42,A
USGS,08162600,2000-03-08,0.78,A
USGS,08162600,2000-03-09,2.2,A
USGS,08162600,2000-03-10,3.1,A
USGS,08162600,2000-03-11,20,A
USGS,08162600,2000-03-12,16,A
USGS,08162600,2000-03-13,22,A
USGS,08162600,2000-03-14,144,A
USGS,08162600,2000-03-15,1070,A
USGS,08162600,2000-03-16,622,A
USGS,08162600,2000-03-17,172,A
USGS,08162600,2000-03-18,63,A
USGS,08162600,2000-03-19,33,A
USGS,08162600,2000-03-20,20,A
USGS,08162600,2000-03-21,14,A
USGS,08162600,2000-03-22,10,A
USGS,08162600,2000-03-23,6.2,A
USGS,08162600,2000-03-24,5.6,A
USGS,08162600,2000-03-25,4.6,A
USGS,08162600,2000-03-26,4.4,A
USGS,08162600,2000-03-27,6.7,A
USGS,08162600,2000-03-28,5.1,A
USGS,08162600,2000-03-29,4.3,A
